Strain.ID	"""Taxonomic"" classification*"	3-letter code*	Genomospecies	Host	Host Type	Location Code^	Opine Type	Year Isolated	Class of oncogenic plasmid	Type  of oncogenic plasmid	NCBI accession
2659 (pRi2659)	tumefaciens	BV1	G7 (not analyzed)	Cucumber	Herbaceous	not shown	Cucumopine	1974	NA	(Ri) Type I	NC_010841.1
Ach5	tumefaciens	BV1	G1	Yarrow	Herbaceous	not shown	Octopine/Agropine		Ti	Type II	NZ_CP011249.1
Bo542 (pTiBo542)	tumefaciens	BV1	G1	Dahlia	Herbaceous	not shown	Succinamopine/Agropine		Ti	Type III	NC_010929.1
C58 	tumefaciens	BV1	G8_a	Cherry	Woody	not shown	Nopaline	1958	Ti	Type Ia	AE007871.1
K84	rhizogenes	BV2				not shown			NA	None	SAMN02602977
pTiOctopine	tumefaciens	BV1	G1			Unknown	Octopine/Agropine		Ti	Type II	NC_002377.1
MAFF301001 (pTiSAKURA)	tumefaciens	BV1	G4	Cherry	Woody	not shown	Nopaline		Ti	Type Ib	AB016260.1
											
Abbreviation*	Term used in Weisberg et al	Synonym 1	Synonym 2	Synonym 3							
	Agrobacteria										
BV1	Biovar 1	Agrobacterium tumefaciens	Rhizobium radiobacter	Agrobacterium radiobacter							
BV2	Biovar 2	Agrobacterium rhizogenes	Rhizobium rhizogenes								
BV2-like	Clade sister to Biovar 2										
BV3	Biovar 3	Agrobacterium vitis	Rhizobium vitis	Allorhizobium vitis							
Aru	Agrobacterium rubi	Rhizobium rubi									
Ask	Agrobacterium skierniewicense	Rhizobium skierniewicense									
Aar	Agrobacterium arsenijevicii										
Aro	Agrobacterium rosae sp. nov.										
Ala	Agrobacterium larrymoorei	Rhizobium larrymoorei									
G2	Biovar 1; genomospecies G2	Agrobacterium pusense	Rhizobium pusense								
G8	Biovar 1; genomospecies G8	Agrobacterium fabrum 									
G14	Biovar 1; genomospecies G14	Agrobacterium nepotum	Rhizobium nepotum								
G15	Biovar 1; genomospecies G15	Agrobacterium viscosum									
											
	Rhizobia										
Run	Allorhizobium	Allorhizobium undicola	Agrobacterium undicola	Rhizobium undicola							
	Neorhizobium	Rhizobium galegae complex									
	Pararhizobium										
	Sinorhizobium	Ensifer									
	Ensifer	Sinorhizobium									
											
^Nursery/Location information is anonymized. Codes for publicly available strains with location information are not shown. Codes are only shown for  strains visualized in figure 4 and S26											
