Strain.ID	""Taxonomic"" classification*	3-letter code*	Genomospecies	Host	Host Type	Location Code^	Opine Type	Year Isolated	Class of oncogenic plasmid	Type  of oncogenic plasmid	NCBI accession	mlsa_node_id	beast_node_id
B1/74	rhizogenes	BV2	NA	Nanking Cherry	Woody	S6_N27	Nopaline	1974	Ti	Type Ia	SAMN14165535	B1_74__BV2	B1_74
B4/73	rhizogenes	BV2	NA	Maple	Woody	S6_N24	Nopaline	1973	Ti	Type Ia	SAMN14165536	B4_73__BV2	B4_73
CG920	tumefaciens	BV1	G1	Clematis	Woody	S5_N17	Octopine/Agropine	NA	Ti	Type II	SAMN14165537	CG920__BV1	CG920
G3/79	tumefaciens	BV1	G1	Willow	Woody	S7	Agrocinopine/Agropine	1979	Ti	Type Ib	SAMN14165538	G3_79__BV1	G3_79
G9/79	tumefaciens	BV1	G1	Poplar	Woody	S7	Agrocinopine/Agropine	1979	Ti	Type Ib	SAMN14165539	G9_79__BV1	G9_79
I2/75	rhizogenes	BV2	NA	Rose	Woody	NA	NA	1975	NA	None	SAMN14165540	I2_75__BV2	I2_75
K6/73	rhizogenes	BV2	NA	Willow	Woody	S6_N21	Nopaline	1973	Ti	Type Ia	SAMN14165541	K6_73__BV2	K6_73
K196/80	tumefaciens	BV1	G1	Chrysanthemum	Herbaceous	C4	Succinamopine/Chrysopine	1980	Ti	Type III	SAMN14165542	K196_80__BV1	K196_80
M2/73	rhizogenes	BV2	NA	Birch	Woody	S6_N27	Nopaline	1973	Ti	Type Ia	SAMN14165543	M2_73__BV2	M2_73
M56 /79	tumefaciens	BV1	G1	Cottonwood	Woody	NA	Nopaline	1979	Ti	Type Ib	SAMN14165544	M56__79__BV1	M56__79
P1/75	rhizogenes	BV2	NA	Dahlia	Herbaceous	S6	Octopine/Agropine	1975	Ti	Type II	SAMN14165545	P1_75__BV2	P1_75
Y2/73	tumefaciens	BV1	G1	Dahlia	Herbaceous	S6_N28	Succinamopine/Agropine	1973	Ti	Type III	SAMN14165546	Y2_73__BV1	Y2_73
B49C/83	rhizogenes	BV2	NA	Apple	Woody	S9	Agrocinopine/Agropine	1983	Ti	Type Ib	SAMN14165547	B49C_83__BV2	B49C_83
D10b/87	rhizogenes	BV2	NA	Apple	Woody	S9	Nopaline	1987	Ti	Type Ia	SAMN14165548	D10b_87__BV2	D10b_87
AR13K/71	rhizogenes	BV2	NA	Crabapple	Woody	NA	Succinamopine-like	1971	Ri	(Ri) Type II	SAMN14165549	AR13K_71__BV2	AR13K_71
A47a	tumefaciens	BV1	G1	Yarrow	Herbaceous	S8_N32	Succinamopine/Chrysopine	2002	Ti	Type III	SAMN14165550	A47a__BV1	A47a
06-478 st	tumefaciens	BV1	G1	Shasta Daisy	Herbaceous	NA	Nopaline/Chrysopine	2006	Ti	Type III	SAMN14165551	06-478_st__BV1	06-478_st
YO0101	tumefaciens	BV1	G1	Aster	Herbaceous	S1_N14	Octopine/Agropine	2002	Ti	Type II	SAMN14165552	YO0101__BV1	YO0101
06-777-2L	tumefaciens	BV1	G7_a	Marguerite Daisy	Herbaceous	NA	NA	2006	NA	None	SAMN14165553	06-777-2L__BV1	06-777-2L
06-617-1	tumefaciens	BV1	G1	Marguerite Daisy	Herbaceous	S2_N4	Nopaline/Chrysopine	2006	Ti	Type III	SAMN14165554	06-617-1__BV1	06-617-1
A51	tumefaciens	BV1	G1	Yarrow	Herbaceous	S8_N32	Nopaline/Chrysopine	2002	Ti	Type III	SAMN14165555	A51__BV1	A51
A74a	tumefaciens	BV1	G8_b	Lavender	Herbaceous	NA	NA	2003	NA	None	SAMN14165556	A74a__BV1	A74a
14-818c	tumefaciens	BV1	G7_a	Russian Sage	Herbaceous	S9_N46	Nopaline/Chrysopine	NA	Ti	Type III	SAMN14165557	14-818c__BV1	14-818c
K599	tumefaciens	BV1	G7_c	Cucumber	Herbaceous	NA	Cucumopine	1974	Ri	(Ri) Type I	SAMN14165558	K599__BV1	K599
NCIB 8196	rhizogenes	BV2	NA	Apple	Woody	NA	Mannopine	1930	Ri	(Ri) Type II	SAMN14165559	NCIB_8196__BV2	NCIB_8196
NCPPB 2655	tumefaciens	BV1	G7_c	Cucumber	Herbaceous	NA	Cucumopine	1974	Ri	(Ri) Type I	SAMN14165560	NCPPB_2655__BV1	NCPPB_2655
NCPPB 2657	tumefaciens	BV1	G9	Cucumber	Herbaceous	NA	Cucumopine	1974	Ri	(Ri) Type I	SAMN14165561	NCPPB_2657__BV1	NCPPB_2657
